,customer,title,stars,review,date
0,witch,One Star,1.0,"Thanks but no thanks, I'm not willing to pay this monthly sum, far too expensive!",5 February 2017
1,Smith & Jones,The worst thing for me since mandatory Video with Prime.,1.0,"I dropped Amazon Prime due to the massive hike in price when the option NOT to simply have a dedicated delivery service ALONE, without video/film etc I would not watch was introduced as a 'bundle'.The stupidity of the notion I would pay the same price for audio books alone is even more frustrating.Yes, I read, and I like books, especially in the physical format.What I do not like is Amazon policy of bundling products like delivery and video, so for me at least, clearly amongst many others, this proposal is the most absurd yet.My Amazon purchases are getting lower and lower as I buy more and more elsewhere for faster delivery; all as a direct result of ongoing ideas such as this.",9 May 2017
2,Zahid,Love concept! But not currently value for money.,2.0,"Don't get me wrong, I am really enjoying listening to an audiobook for a change. Its nice to relax with in bed and just listen. However, the price of this is a big issue. £7.99 per month for one audiobook is crazily steep. This price is not that much off buying the audiobook outright each month and therefore just ties you in. My second issue that I am little disappointed is that as an Prime customer there is no integration, or discount of any short, unlike the US version who have audible fully included within its package. I believe that this should be put in place across all its countries due to paying the same ( if not more) for this service. However, I am obviously aware that audiobooks are not cheap but with amazon being such a big company, and netfix or its own amazon prime instant video branch offering a better deal for a lower price they need to work with the customer to make this a success!",17 January 2016
3,Shazebee,Imagine if Netflix used this concept. £8 for 1 free film a mth? NOPE!,1.0,Currently trialing it but wont be continuing! As if its £7.99 for 1 book! Imag8ne if this was how netflix or prime video operated? 1 movie a mth and pay average of £10 to watch any of the others.....erm nope!Bit greedy! Shame on you amazon!Pretty sure audio book doesnt cost more than a film to make!It should be free with my prime!,7 March 2017
4,Kieren Geaney,Good but a bit too expensive for whats on offer.,2.0,"I finished a book in 2 weeks and am not allowed another until the next month.  For the money I would expect unlimited listening. The app on android works well and keeps position allowing you to stream or download.  It is quite a battery hog though for an audio player.  I like the audible experience and listing to my first book was enjoyable but I wont keep the subscription.  If they could offer unlimited for the same money I would be in.  For now I wont continue the subscription, I will try my local library of kindle unlimited as others have mentioned.  At the moment, Audible misses the mark.  I will try again maybe next year in case they decide to listen to the feedback.  If the value proposition or monthly limit it not a problem for you, then this is a good app / product.",19 May 2017
5,Miss Scarlett,To counterbalance the one star reviews...,4.0,"Presumably many of these reviewers clicked on the '0.00 with Audible' option when you go to purchase a book/audiobook as it seems quite a few are giving it one star due to their own negligence.Those who say it's too expensive have no idea how much audiobooks actually cost- they can easily cost £30- because they're more expensive to produce than books. Also, you can use your credit for any audiobook, whatever the price.Audible will also heavily discount the cost of other audiobooks for you (this is where they make their money, in reducing the cost of some audiobooks below the 7.99 mark so you feel you don't want to waste your credit on them), plus they have some exclusive free podcasts.If you don't listen to audiobooks that often, you may prefer to use your local library's app or borrow a CD from your local library.As with all memberships, the best thing to do is to first make a note of how many audiobooks you actually want to purchase and how many of them are more expensive than 7.99. At the very least, a free trial is worth it as you can keep the free book.",15 April 2020
6,PATRICIA,Don't subscribe to Audible books,1.0,Don't subscribe to Audible books they are still taking money from my account YEARS after finishing with them. The fraud squad from my bank are forcing them to return money they take every month!,16 April 2017
7,D. C.,stupid pricce,2.0,the amount they want does not equal good value at all.  its the same amount of money as prime membership.  and you get free delivery of items and as much tv and movies as you want.there has to be other audio book services that offer a great deal more for less money than 7.99  or 96 pound a year.there are a few free ones  if your going to pay for a service you expect to get choice and and value.why dont they just include in prime membership for a single book they must think people are slow listeners.when you go to a library you can take out a number of books  why dont they do you can load 1 audio book at a time when finished you can get another.I dont see how they have any members at this price and service,11 June 2017
8,Wibble,Terrible customer service,2.0,"After year of happy use of Audible, my Audible library is over 220 books, I've cancelled my membership in protest at the shoddy customer service I've had in my last three encounters.I've never had to deal with trained customer service who refuse to answer my question, who rephrase my question so it no longer means the same thing and then answer that instead. They are worse than politicians or Supreme Court nominees.Three times I've tried to enquire as to why some of my books are 128kbps and sound great, and other are 64kbps and sound okay at best, and like garbage at worst. All of my downloads are supposed to be the highest quality, but they are clearly not all the same. Most annoying of all, the Audible full-cast Alien dramas sound wildly inconsistent with two being high quality, and two being hot garbage. All I'm asking is when will the crap ones be upgraded, and Audible won't even acknowledge that there's any difference between the 128kbps and the 64kbps files. It's like banging you head against a wall. So in future, I will buy from iTunes :(",17 September 2019
9,JVS,"I love audiobooks, but this 'deal' is very unappealing to ...",1.0,"I don't think this is a particularly attractive deal, and it's not one I'll be taking up. £7.99 per month (or £100 per year) is way too expensive for simply one book a month, and the 'deal' seems to be structured more towards keeping people tied to Amazon as repeat customers, than it does towards giving people an attractive deal, or something they can't get elsewhere. I love audiobooks, but this 'deal' is very unappealing to me. Amazon need to rethink their strategy on this one, if they want to attract more customers.",20 December 2015
